call_id,client_id,started_at,ended_at,billable_seconds,started_pst,ended_pst
PS-1001-5012,PS-1001,2025-07-03 19:47:00+00:00,2025-07-03 19:52:41+00:00,341,2025-07-03 12:47:00-07:00,2025-07-03 12:52:41-07:00
PS-1001-7912,PS-1001,2025-07-05 23:06:00+00:00,2025-07-05 23:08:29+00:00,149,2025-07-05 16:06:00-07:00,2025-07-05 16:08:29-07:00
PS-1001-9279,PS-1001,2025-07-01 02:13:00+00:00,2025-07-01 02:17:58+00:00,298,2025-06-30 19:13:00-07:00,2025-06-30 19:17:58-07:00
PS-1001-4611,PS-1001,2025-07-01 12:12:00+00:00,2025-07-01 12:20:09+00:00,489,2025-07-01 05:12:00-07:00,2025-07-01 05:20:09-07:00
PS-1001-3615,PS-1001,2025-07-19 12:51:00+00:00,2025-07-19 12:52:06+00:00,66,2025-07-19 05:51:00-07:00,2025-07-19 05:52:06-07:00
PS-1001-4527,PS-1001,2025-07-14 05:17:00+00:00,2025-07-14 05:20:39+00:00,219,2025-07-13 22:17:00-07:00,2025-07-13 22:20:39-07:00
PS-1001-6881,PS-1001,2025-07-04 06:24:00+00:00,2025-07-04 06:26:39+00:00,159,2025-07-03 23:24:00-07:00,2025-07-03 23:26:39-07:00
PS-1001-8527,PS-1001,2025-07-20 12:51:00+00:00,2025-07-20 12:52:44+00:00,104,2025-07-20 05:51:00-07:00,2025-07-20 05:52:44-07:00
PS-1002-6925,PS-1002,2025-07-04 07:05:00+00:00,2025-07-04 07:11:00+00:00,360,2025-07-04 00:05:00-07:00,2025-07-04 00:11:00-07:00
PS-1002-4733,PS-1002,2025-07-07 17:04:00+00:00,2025-07-07 17:05:46+00:00,106,2025-07-07 10:04:00-07:00,2025-07-07 10:05:46-07:00
PS-1002-7227,PS-1002,2025-07-03 11:55:00+00:00,2025-07-03 11:57:43+00:00,163,2025-07-03 04:55:00-07:00,2025-07-03 04:57:43-07:00
PS-1002-3664,PS-1002,2025-07-16 00:53:00+00:00,2025-07-16 01:00:13+00:00,433,2025-07-15 17:53:00-07:00,2025-07-15 18:00:13-07:00
PS-1002-2169,PS-1002,2025-07-12 10:42:00+00:00,2025-07-12 10:47:33+00:00,333,2025-07-12 03:42:00-07:00,2025-07-12 03:47:33-07:00
PS-1002-3677,PS-1002,2025-07-21 00:34:00+00:00,2025-07-21 00:39:10+00:00,310,2025-07-20 17:34:00-07:00,2025-07-20 17:39:10-07:00
PS-1002-6313,PS-1002,2025-07-13 12:59:00+00:00,2025-07-13 13:03:44+00:00,284,2025-07-13 05:59:00-07:00,2025-07-13 06:03:44-07:00
PS-1002-7572,PS-1002,2025-07-08 01:51:00+00:00,2025-07-08 01:57:23+00:00,383,2025-07-07 18:51:00-07:00,2025-07-07 18:57:23-07:00
PS-1003-4483,PS-1003,2025-07-03 10:58:00+00:00,2025-07-03 11:04:22+00:00,382,2025-07-03 03:58:00-07:00,2025-07-03 04:04:22-07:00
PS-1003-3340,PS-1003,2025-07-16 07:56:00+00:00,2025-07-16 08:04:49+00:00,529,2025-07-16 00:56:00-07:00,2025-07-16 01:04:49-07:00
PS-1003-8019,PS-1003,2025-07-05 11:47:00+00:00,2025-07-05 11:52:29+00:00,329,2025-07-05 04:47:00-07:00,2025-07-05 04:52:29-07:00
PS-1003-9348,PS-1003,2025-07-13 06:14:00+00:00,2025-07-13 06:17:21+00:00,201,2025-07-12 23:14:00-07:00,2025-07-12 23:17:21-07:00
PS-1003-3504,PS-1003,2025-07-03 05:55:00+00:00,2025-07-03 05:57:52+00:00,172,2025-07-02 22:55:00-07:00,2025-07-02 22:57:52-07:00
PS-1003-7304,PS-1003,2025-07-06 16:27:00+00:00,2025-07-06 16:29:05+00:00,125,2025-07-06 09:27:00-07:00,2025-07-06 09:29:05-07:00
PS-1003-1188,PS-1003,2025-07-20 18:33:00+00:00,2025-07-20 18:38:17+00:00,317,2025-07-20 11:33:00-07:00,2025-07-20 11:38:17-07:00
PS-1003-6573,PS-1003,2025-07-23 22:43:00+00:00,2025-07-23 22:48:33+00:00,333,2025-07-23 15:43:00-07:00,2025-07-23 15:48:33-07:00
